year,month,central_lat,central_lon,mean_flux,TPM_flux,CO2_flux,CO_flux,CH4_flux
2020,August,-4.75,-63.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-63.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-62.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-62.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-61.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-61.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-60.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-60.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-59.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-59.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-58.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-58.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-57.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-57.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-56.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-56.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-55.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-55.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-54.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-54.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-53.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-53.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-52.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-52.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-51.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-51.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-50.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-50.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-49.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-49.25,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-48.75,0.0,0.0,0.0,0.0,0.0
2020,August,-4.75,-48.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-71.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-71.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-70.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-70.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-69.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-69.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-68.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-68.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-67.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-67.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-66.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-66.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-65.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-65.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-64.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-64.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-63.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-63.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-62.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-62.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-61.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-61.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-60.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-60.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-59.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-59.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-58.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-58.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-57.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-57.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-56.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-56.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-55.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-55.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-54.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-54.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-53.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-53.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-52.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-52.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-51.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-51.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-50.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-50.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-49.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-49.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-48.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.25,-48.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-71.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-71.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-70.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-70.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-69.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-69.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-68.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-68.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-67.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-67.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-66.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-66.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-65.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-65.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-64.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-64.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-63.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-63.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-62.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-62.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-61.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-61.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-60.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-60.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-59.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-59.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-58.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-58.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-57.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-57.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-56.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-56.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-55.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-55.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-54.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-54.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-53.75,0.0008690958493389189,3.6328208352642832e-06,0.0006764562567695975,4.342682586866431e-05,2.7141766167915193e-06
2020,August,-5.75,-53.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-52.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-52.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-51.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-51.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-50.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-50.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-49.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-49.25,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-48.75,0.0,0.0,0.0,0.0,0.0
2020,August,-5.75,-48.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-71.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-71.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-70.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-70.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-69.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-69.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-68.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-68.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-67.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-67.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-66.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-66.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-65.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-65.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-64.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-64.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-63.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-63.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-62.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-62.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-61.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-61.25,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-60.75,0.0,0.0,0.0,0.0,0.0
2020,August,-6.25,-60.25,0.0,0.0,0.0,0.0,0.0
